,bulletin_no,routes,gar_full,Event,Description,eff_day,eff_date,initials,bull_type,plus_minus,Cost
0,SB21-0046,20;53;66,Chicago,Owl Transitions,Spring DST Owl Transitions,Saturday,2021-03-13,AK,Spring_Owl,,4:51
1,SB21-0047,9;49;55;62;63,74th,Owl Transitions,Spring DST Owl Transitions,Saturday,2021-03-13,AK,Spring_Owl,,20:33
2,SB21-0048,4;79;87,77th,Owl Transitions,Spring DST Owl Transitions,Saturday,2021-03-13,AK,Spring_Owl,,7:07
3,SB21-0049,N5;34,103rd,Owl Transitions,Spring DST Owl Transitions,Saturday,2021-03-13,AK,Spring_Owl,,6:25
