,bulletin_no,routes,gar_full,Event,Description,eff_day,eff_date,initials,bull_type,plus_minus,Cost
0,SB21-0001,81,Forest Glen,Covid-19 Short Turn,Short-turn operation extras for #81 - Weekday,Weekday,2021-01-04,AK,Short_Covid,+,31:30
1,SB21-0002,36,North Park,Covid-19 Short Turn,Short-turn operation extras for #36 - Sunday,Sunday,2021-01-03,AK,Short_Covid,+,35:54
2,SB21-0003,22,North Park,Covid-19 Short Turn,Short-turn operation extras for #22 - Weekday,Weekday,2021-01-04,AK,Short_Covid,+,39:54
3,SB21-0004,22,North Park,Covid-19 Short Turn,Short-turn operation extras for #22- Saturday,Saturday,2021-01-09,AK,Short_Covid,+,36:07
4,SB21-0005,147,North Park,Covid-19 Short Turn,Short-turn operation extras for #147 - Weekday,Weekday,2021-01-04,AK,Short_Covid,+,64:56
5,SB21-0006,20,Chicago,Covid-19 Short Turn,Short-turn operation extras for #20 - Sunday,Sunday,2021-01-03,AK,Short_Covid,+,33:53
6,SB21-0007,20,Chicago,Covid-19 Short Turn,Short-turn operation extras for #20 - Weekday,Weekday,2021-01-04,AK,Short_Covid,+,41:03
